REGIONE,COMUNE,PROVINCIA,CODICEISTITUTORIFERIMENTO,DENOMINAZIONEISTITUTORIFERIMENTO,CODICESCUOLA,DENOMINAZIONESCUOLA,INDIRIZZOSCUOLA,CAPSCUOLA,DESCRIZIONETIPOLOGIAGRADOISTRUZIONESCUOLA
LAZIO,RIPI,FROSINONE,FRIC81100G,I.C. RIPI,FRIC81100G,I.C. RIPI,PIAZZA G. BACCELLI 4,03027,ISTITUTO COMPRENSIVO
LAZIO,ROMA,ROMA,RMPS10000A,FRANCESCO D'ASSISI,RMPS10000A,FRANCESCO D'ASSISI,VIALE DELLA PRIMAVERA 207,00172,LICEO SCIENTIFICO
LAZIO,LATINA,LATINA,LTIC847002,I.C. CENA,LTEE847025,VIA LEGNANO,VIA LEGNANO,04100,SCUOLA PRIMARIA
LAZIO,SONNINO,LATINA,LTIC80100L,L. DA VINCI E ROCCASECCA VOLSCI,LTAA80102E,SONNINO ( CAPOLUOGO ),VIA BORGO CIMERONE CAPOLUOGO,04010,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8EX00Q,IC OLCESE,RMAA8EX03P,VIA TOVAGLIERI,VIA TOVAGLIERI 201,00155,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC83700E,"""RAFFAELLO""",RMIC83700E,"""RAFFAELLO""",VIA GIUSEPPE CAPOGRASSI 23,00173,ISTITUTO COMPRENSIVO
LAZIO,CISTERNA DI LATINA,LATINA,LTIC838007,I.C. DANTE MONDA- ALFONSO VOLPI,LTAA838025,VIA MONTI LEPINI,VIA MONTI LEPINI,04012,SCUOLA INFANZIA
LAZIO,FONTE NUOVA,ROMA,RMPC150008,LICEO GINNASIO STATALE ORAZIO,RMPC15002A,ORAZIO,VIA DEL LAGO DI BRACCIANO,Non Disponibile,LICEO CLASSICO
LAZIO,ROMA,ROMA,RMIC8EL00C,IC VIA TEDESCHI,RMEE8EL02G,MARTIRI DELLA LIBERTA',VIA BERTARELLI 140,00159,SCUOLA PRIMARIA
LAZIO,CERVETERI,ROMA,RMIC891007,MARINA DI CERVETERI,RMAA891047,-QUARTACCIO-,VIA DI CERI60,00050,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8GT00N,I.C. VIA TRIONFALE,RMEE8GT02R,VIA TRIONFALE,VIA TRIONFALE 7333,00135,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8F400V,"I.C. ""GOFFREDO PETRASSI""",RMMM8F401X,GOFFREDO PETRASSI,VIA DELLA MARATONA 23,00194,SCUOLA PRIMO GRADO
LAZIO,FERENTINO,FROSINONE,FRIC83900B,I.C. 1^ FERENTINO,FRAA83903A,FERENTINO CAMERACANNE,VIA CARTIERA QUARTO,03013,SCUOLA INFANZIA
LAZIO,APRILIA,LATINA,LTIC82100T,"IC ""ANTONIO GRAMSCI""",LTAA82102Q,ARCOBALENO,VIA DEI MILLE,04011,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8FC003,IC VIA MEROPE,RMAA8FC043,VIA CALIMERA S.N.C.,VIA CALIMERA S.N.C.,00133,SCUOLA INFANZIA
LAZIO,SERRONE,FROSINONE,FRIC80700X,"I.C. ""O. BOTTINI"" PIGLIO",FRMM807033,S.M. SERRONE,VIA MONTE SCALAMBRA SNC,03010,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8CC007,"IC ""ARTEMISIA GENTILESCHI""",RMEE8CC03B,RENZO PEZZANI,PIAZZA DEI MIRTI 31,00172,SCUOLA PRIMARIA
LAZIO,SABAUDIA,LATINA,LTTF05000D,"LICEO-IST.TECNICO I.O.""G.CESARE""SABAUDIA",LTTF05050V,ITT RITA LEVI MONTALCINI - SERALE,Non Disponibile,Non Disponibile,ISTITUTO TECNICO INDUSTRIALE
LAZIO,SORA,FROSINONE,FRIC849002,I.C. 1^ SORA,FRMM849013,IC SORA 1' - ROSATI SORA,VIALE VINCENZO SIMONCELLI,03039,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8BP00C,OVIDIO,RMAA8BP019,C. NOBILI - VIA BITOSSI,VIA G. BITOSSI 5,00136,SCUOLA INFANZIA
LAZIO,MARINO,ROMA,RMIC8A400T,IC S.MARIA DELLE MOLE,RMMM8A401V,"SC. SEC. I GRADO ""A. VIVALDI""",VIA G. PRATI 9,00047,SCUOLA PRIMO GRADO
LAZIO,GAETA,LATINA,LTIS02300N,FERMI,LTTD02301X,ITC,VIA CALEGNA,04024,ISTITUTO TECNICO COMMERCIALE
LAZIO,ROMA,ROMA,RMIC8FW00E,NELSON MANDELA,RMAA8FW01B,ILDEBRANDO PIZZETTI,VIA DEI BRUSATI 55,00163,SCUOLA INFANZIA
LAZIO,GALLICANO NEL LAZIO,ROMA,RMIC8AB006,GALLICANO NEL LAZIO VIA TRE NOV,RMMM8AB017,VIA TRE NOVEMBRE GALLICANO LAZ,VIA TRE NOVEMBRE 11,00010,SCUOLA PRIMO GRADO
LAZIO,LATINA,LATINA,LTIC81500E,I.C NATALE PRAMPOLINI,LTEE81501L,BORGO PODGORA,STRADA PODGORA,04010,SCUOLA PRIMARIA
LAZIO,FRASCATI,ROMA,RMIS13100L,"""M.PANTALEONI - M. BUONARROTI""",RMIS13100L,"""M.PANTALEONI - M. BUONARROTI""",VIA B. POSTORINO 27,00044,ISTITUTO SUPERIORE
LAZIO,ROMA,ROMA,RMIC80600V,ISTITUTO COMPRENSIVO VIRGILIO,RMMM80601X,VIRGILIO,VIA GIULIA 25,00186,SCUOLA PRIMO GRADO
LAZIO,GROTTAFERRATA,ROMA,RMIC8BU00G,GROTTAFERRATA-SAN NILO,RMAA8BU02D,G.RODARI,VIALE I MAGGIO,00046,SCUOLA INFANZIA
LAZIO,SALISANO,RIETI,RIIC82500N,IST. COMPRENSIVO BASSA SABINA,RIEE82501Q,"SCUOLA PRIMARIA ""TEGA""",LARGO COSTANTINI 14,02040,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8FR002,FRANCESCO CILEA,RMEE8FR014,SCUOLA PRIMARIA I.C. VIA CILEA,VIA CILEA 269,00124,SCUOLA PRIMARIA
LAZIO,PONTECORVO,FROSINONE,FRIS00900Q,I.I.S. PONTECORVO,FRPS009016,LICEO SCIENTIFICO MICHELANGELO,VIA XXIV MAGGI0 106 - VIA SALVO D'ACQUISTO,03037,LICEO SCIENTIFICO
LAZIO,LADISPOLI,ROMA,RMIC8DX005,IC LADISPOLI I,RMAA8DX034,Non Disponibile,Non Disponibile,00055,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8GT00N,I.C. VIA TRIONFALE,RMMM8GT01P,VIA VALLOMBROSA,VIA VALLOMROSA 31,00135,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC841006,I.C.GIOVANNI PAOLO II,RMAA841024,VIA PETRA,VIA PETRA,00126,SCUOLA INFANZIA
LAZIO,MONTELANICO,ROMA,RMIC8AZ00T,SEGNI,RMAA8AZ063,LEONE XIII,Non Disponibile,00032,SCUOLA INFANZIA
LAZIO,GRAFFIGNANO,VITERBO,VTIC80800L,I.C. PIO FEDI GROTTE S STEFANO,VTMM80804R,SCUOLA SEC. I GRAFFIGNANO,PIAZZA DEL COMUNE 10,01020,SCUOLA PRIMO GRADO
LAZIO,TERRACINA,LATINA,LTIC82900C,I.C. MARIA MONTESSORI,LTIC82900C,I.C. MARIA MONTESSORI,VIA DEI VOLSCI 12,04019,ISTITUTO COMPRENSIVO
LAZIO,MORLUPO,ROMA,RMIC88600Q,"""GIOVANNI FALCONE E PAOLO BORS",RMAA88601L,"""DON PINO PUGLISI""",VIA SAN PELLEGRINO 29,00067,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8GK00T,I.C. LARGO S.PIO V,RMMM8GK01V,BRAMANTE,L.GO S.PIO V 20,00165,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8FQ006,IC TULLIA ZEVI,RMEE8FQ029,PALOCCO 84,LARGO ARISTOTELE 41,00124,SCUOLA PRIMARIA
LAZIO,SORA,FROSINONE,FRIC850006,"I.C. 2^ ""RICCARDO GULIA"" SORA",FRAA850013,CHIESA NUOVA,VIA CHIESA NUOVA,03039,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8BM00R,MARIA CAPOZZI,RMMM8BM01T,LEOPARDI,VIA ENNIO BONIFAZI 64,00167,SCUOLA PRIMO GRADO
LAZIO,POMEZIA,ROMA,RMIS064003,BLAISE PASCAL,RMIS064003,BLAISE PASCAL,VIA PIETRO NENNI 48,00071,ISTITUTO SUPERIORE
LAZIO,NEMI,ROMA,RMIC8BH00Q,"LANUVIO ""MARIANNA DIONIGI""",RMEE8BH02V,NEMI,VIA SAN MICHELE SNC,00074,SCUOLA PRIMARIA
LAZIO,PALESTRINA,ROMA,RMIC8DR00R,"IC ""GIOVANNI PIERLUIGI""",RMMM8DR01T,""" GIOVANNI PIERLUIGI """,VIA DI VALLE ZAMPEA N. 2,00036,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC80600V,ISTITUTO COMPRENSIVO VIRGILIO,RMEE806011,OSPEDALE BAMBIN GESU',VIA S. ONOFRIO,00165,SCUOLA PRIMARIA
LAZIO,SACROFANO,ROMA,RMIC88100L,"I.C. ""GUIDO PITOCCO""",RMMM88102P,L.GO ILARIA ALPI SACROFANO,L.GO ILARIA ALPI 2,00060,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8E800G,FRANCESCA MORVILLO,RMIC8E800G,FRANCESCA MORVILLO,VIA S.BIAGIO PLATANI 260,00133,ISTITUTO COMPRENSIVO
LAZIO,LABICO,ROMA,RMIC8CE00V,LEONARDO DA VINCI,RMIC8CE00V,LEONARDO DA VINCI,VIA LEONARDO DA VINCI N. 34A,00030,ISTITUTO COMPRENSIVO
LAZIO,MINTURNO,LATINA,LTIC855001,I.C. MARCO EMILIO SCAURO,LTAA85503X,VIA S. ALBINA,VIA I. BALBO,04028,SCUOLA INFANZIA
LAZIO,POMEZIA,ROMA,RMIC8GZ00L,ENEA,RMAA8GZ02E,TORVAIANICA ALTA,VIA DI TORVAIANICA ALTA,00040,SCUOLA INFANZIA
LAZIO,ANZIO,ROMA,RMIC8C4003,I.C. ANZIO IV,RMEE8C409D,VIALE SEVERIANO,VIALE SEVERIANO,00042,SCUOLA PRIMARIA
LAZIO,ANAGNI,FROSINONE,FRIS023002,I.I.S. ANAGNI,FRIS023002,I.I.S. ANAGNI,STRADA PROVINCIALE ANAGNI-ACUTO,03012,ISTITUTO SUPERIORE
LAZIO,ACUTO,FROSINONE,FRIC83600X,I.C. FIUGGI,FRAA83602T,SCUOLA INFANZIA,VIALE GIUSEPPE GERMINI,03010,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8B400C,BRUNO MUNARI,RMAA8B4019,ANGELO MAURI,VIA ANGELO MAURI,00139,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8EX00Q,IC OLCESE,RMAA8EX01L,VIA DEI BERIO,VIA DEI BERIO 42,00155,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIS063007,LUCIO ANNEO SENECA,RMIS063007,LUCIO ANNEO SENECA,VIA ALBERGOTTI 35,00167,ISTITUTO SUPERIORE
LAZIO,MONTE PORZIO CATONE,ROMA,RMIC8AT005,DON LORENZO MILANI,RMAA8AT012,LA TROTTOLA,VIA FRASCATI ANTICA26,00040,SCUOLA INFANZIA
LAZIO,FORMIA,LATINA,LTIC81300V,I.C.VITRUVIO POLLIONE,LTAA81302R,"INFANZIA ""IL PICCOLO PRINCIPE""",VIA SAN ROCCOSNC,04023,SCUOLA INFANZIA
LAZIO,NETTUNO,ROMA,RMIC8D300T,ISTITUTO COMPRENSIVO NETTUNO IV,RMEE8D301X,I.C. NETTUNO IV - PRIMARIA,VIA E. VISCA N. 26 A,00048,SCUOLA PRIMARIA
LAZIO,AMASENO,FROSINONE,FRIC81200B,I.C. AMASENO,FRAA812018,AMASENO CAPOLUOGO,VIALE UMBERTO I,03021,SCUOLA INFANZIA
LAZIO,LATINA,LATINA,LTIC847002,I.C. CENA,LTEE847036,E. DE AMICIS,VIA COL DI LANA,04100,SCUOLA PRIMARIA
LAZIO,SEZZE,LATINA,LTIC80200C,I.C. VALERIO FLACCO,LTEE80205P,MELOGROSSO,VIA MELOGROSSO,04018,SCUOLA PRIMARIA
LAZIO,MONTEROTONDO,ROMA,RMPS110001,LICEO SCIENTIFICO G. PEANO,RMPS110001,LICEO SCIENTIFICO G. PEANO,VIA DELLA FONTE 9,00015,LICEO SCIENTIFICO
LAZIO,CISTERNA DI LATINA,LATINA,LTIC838007,I.C. DANTE MONDA- ALFONSO VOLPI,LTIC838007,I.C. DANTE MONDA- ALFONSO VOLPI,INDIRIZZO MUSICALE,04012,ISTITUTO COMPRENSIVO
LAZIO,ROMA,ROMA,RMPC150008,LICEO GINNASIO STATALE ORAZIO,RMPC150008,LICEO GINNASIO STATALE ORAZIO,VIA SAVINIO 40,00141,LICEO CLASSICO
LAZIO,CERVETERI,ROMA,RMIC891007,MARINA DI CERVETERI,RMMM891018,MARINA DI CERVETERI,VIALE DEI TIRRENI SNC,00050,SCUOLA PRIMO GRADO
LAZIO,FROSINONE,FROSINONE,FRIC86000R,I.C. 3^ FROSINONE,FREE86002X,FROSINONE DANTE ALIGHIERI,VIA FOSSE ARDEATINE 26,03100,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC83700E,"""RAFFAELLO""",RMEE83703P,PIET MONDRIAN,VIA GIUSEPPE CAPOGRASSI 23,00173,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8F400V,"I.C. ""GOFFREDO PETRASSI""",RMEE8F4022,ZANDONAI,VIA ZANDONAI 118,00194,SCUOLA PRIMARIA
LAZIO,FIAMIGNANO,RIETI,RIIC81900A,I. OMNICOMPRENSIVO BORGOROSE,RIEE81905L,FRAZ. S. LUCIA,Non Disponibile,02027,SCUOLA PRIMARIA
LAZIO,ARDEA,ROMA,RMIC8C800A,IC ARDEA III,RMEE8C803E,PIAN DI FRASSO,VIA STRAMPELLI,00040,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8EL00C,IC VIA TEDESCHI,RMEE8EL01E,DE RUGGIERO,VIA ACHILLE TEDESCHI 75,00157,SCUOLA PRIMARIA
LAZIO,FERENTINO,FROSINONE,FRIC83900B,I.C. 1^ FERENTINO,FRAA839018,FERENTINO CAPOLUOGO-MACIOTI,VIA CIRCONVALLAZIONE,03013,SCUOLA INFANZIA
LAZIO,APRILIA,LATINA,LTIC82100T,"IC ""ANTONIO GRAMSCI""",LTIC82100T,"IC ""ANTONIO GRAMSCI""",VIA MARCO AURELIO,04011,ISTITUTO COMPRENSIVO
LAZIO,ROMA,ROMA,RMIC8FD00V,IC VIA P. SEMERIA,RMEE8FD011,PRINCIPE DI PIEMONTE,VIA OSTIENSE 263/C,00146,SCUOLA PRIMARIA
LAZIO,PONTECORVO,FROSINONE,FRIS00900Q,I.I.S. PONTECORVO,FRTF009018,"I.T.I.S. ""GALILEI""",VIA XXIV MAGGIO 132,03037,ISTITUTO TECNICO INDUSTRIALE
LAZIO,PIGLIO,FROSINONE,FRIC80700X,"I.C. ""O. BOTTINI"" PIGLIO",FRAA80701R,PIGLIO CAPOLUOGO,Non Disponibile,03010,SCUOLA INFANZIA
LAZIO,NETTUNO,ROMA,RMTD48000N,EMANUELA LOI,RMTD480503,"PERCORSO II LIVELLO ""EMANUELA LOI""",VIA EMANUELA LOI 6,00048,IST TEC COMMERCIALE E PER GEOMETRI
LAZIO,SABAUDIA,LATINA,LTTF05000D,"LICEO-IST.TECNICO I.O.""G.CESARE""SABAUDIA",LTTF05000D,"LICEO-IST.TECNICO I.O.""G.CESARE""SABAUDIA",VIA DEL PARCO NAZIONALE 10,04016,ISTITUTO TECNICO INDUSTRIALE
LAZIO,ROMA,ROMA,RMIC8FW00E,NELSON MANDELA,RMIC8FW00E,NELSON MANDELA,VIA DEI TORRIANI 44,00164,ISTITUTO COMPRENSIVO
LAZIO,CORCHIANO,VITERBO,VTIC81700B,I.C. D. ALIGHIERI CIVITA CASTEL,VTAA817018,SCUOLA INFANZIA CORCHIANO,VIA DANTE ALIGHIERI,01030,SCUOLA INFANZIA
LAZIO,POLI,ROMA,RMIC8AB006,GALLICANO NEL LAZIO VIA TRE NOV,RMMM8AB028,POLI,VIA TIVOLI SNC,00010,SCUOLA PRIMO GRADO
LAZIO,LATINA,LATINA,LTIC81500E,I.C NATALE PRAMPOLINI,LTEE81507V,CHIESUOLA,LOCALITA CHIESUOLA,04100,SCUOLA PRIMARIA
LAZIO,GROTTAFERRATA,ROMA,RMIC8BU00G,GROTTAFERRATA-SAN NILO,RMMM8BU01L,GROTTAFERRATA -D.ZAMPIERI,VIA VECCHIA DI MARINO,00046,SCUOLA PRIMO GRADO
LAZIO,CERVETERI,ROMA,RMIC891007,MARINA DI CERVETERI,RMEE89105D,BORGO SAN MARTINO,BORGO SAN MARTINO,Non Disponibile,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8FR002,FRANCESCO CILEA,RMMM8FR013,SC. SEC. I GRADO I.C. VIA CILEA,VIA CILEA 269,00124,SCUOLA PRIMO GRADO
LAZIO,MONTEROTONDO,ROMA,RMIC88700G,LOREDANA CAMPANARI,RMIC88700G,LOREDANA CAMPANARI,VIA MONTE POLLINO 45,00015,ISTITUTO COMPRENSIVO
LAZIO,LADISPOLI,ROMA,RMIC8DX005,IC LADISPOLI I,RMEE8DX028,ROSARIO LIVATINO,VIA FRATELLI BANDIERA 29,00055,SCUOLA PRIMARIA
LAZIO,LABICO,ROMA,RMIC8CE00V,LEONARDO DA VINCI,RMAA8CE02R,INFANZIA DONNA AGNESE PASTORE,VIA FICORONI 37,00030,SCUOLA INFANZIA
LAZIO,SEGNI,ROMA,RMIC8AZ00T,SEGNI,RMAA8AZ03R,SEGNI - C.U. VIA MARCONI,VIA MARCONI 15,00037,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIC8FQ006,IC TULLIA ZEVI,RMIC8FQ006,IC TULLIA ZEVI,VIA PIRGOTELE 20,00124,ISTITUTO COMPRENSIVO
LAZIO,TIVOLI,ROMA,RMIS104008,PUBLIO ELIO ADRIANO,RMIS104008,PUBLIO ELIO ADRIANO,VIA G. PETROCCHI SNC,00019,ISTITUTO SUPERIORE
LAZIO,ROMA,ROMA,RMIC8GL00N,I.C. VIA SORISO,RMEE8GL01Q,PAPA WOJTYLA,VIA SORISO 41,00166,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8BM00R,MARIA CAPOZZI,RMIC8BM00R,MARIA CAPOZZI,VIA ENNIO BONIFAZI 64,00167,ISTITUTO COMPRENSIVO
LAZIO,GAETA,LATINA,LTIS02300N,FERMI,LTIS02300N,FERMI,PIAZZA TRIESTE N.1,04024,ISTITUTO SUPERIORE
LAZIO,ROMA,ROMA,RMIC80600V,ISTITUTO COMPRENSIVO VIRGILIO,RMEE806044,GRILLI,PIAZZA A.GARIBALDI,00186,SCUOLA PRIMARIA
LAZIO,SACROFANO,ROMA,RMIC88100L,"I.C. ""GUIDO PITOCCO""",RMEE88103R,SACROFANO,VIA F. QUATTROCCHI 4,00060,SCUOLA PRIMARIA
LAZIO,MONTOPOLI DI SABINA,RIETI,RIIC82500N,IST. COMPRENSIVO BASSA SABINA,RIAA82506Q,FRAZ GRANARI,VIA CASENUOVE GRANARI SNC,02034,SCUOLA INFANZIA
LAZIO,MINTURNO,LATINA,LTIC855001,I.C. MARCO EMILIO SCAURO,LTMM855012,PIETRO FEDELE,VIA APPIA 311,04026,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8E800G,FRANCESCA MORVILLO,RMAA8E802D,VIA SICULIANA,VIA SICULIANA 78,00133,SCUOLA INFANZIA
LAZIO,SANTI COSMA E DAMIANO,LATINA,LTIC81400P,I.C. G.ROSSI-SS.COSMA DAMIANO,LTEE81401R,GRUNUOVO,VIA FERROVIA,04020,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8B400C,BRUNO MUNARI,RMEE8B404N,ANGELO MAURI,VIA ANGELO MAURI 5,00139,SCUOLA PRIMARIA
LAZIO,POMEZIA,ROMA,RMIC8GZ00L,ENEA,RMEE8GZ01P,MARTIN PESCATORE,VIA TORRALBA,00040,SCUOLA PRIMARIA
LAZIO,ANZIO,ROMA,RMIC8C4003,I.C. ANZIO IV,RMEE8C4015,MIGLIORAMENTO,VIA INDIPENDENZA 1,00040,SCUOLA PRIMARIA
LAZIO,LATINA,LATINA,LTIC84800T,LEONARDO DA VINCI-RODARI,LTEE84801X,GIANNI RODARI,VIA FATTORI 10,04100,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8EX00Q,IC OLCESE,RMAA8EX02N,VIA LEPETIT 181,VIA LEPETIT 181,00155,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMIS02300R,DONATO BRAMANTE,RMIS02300R,DONATO BRAMANTE,VIA DELLA CECCHINA 20,00139,ISTITUTO SUPERIORE
LAZIO,ROMA,ROMA,RMIC8FR002,FRANCESCO CILEA,RMAA8FR01V,SCUOLA INFANZIA I. C. V. CILEA,VIA DE FALLA11,00124,SCUOLA INFANZIA
LAZIO,ALATRI,FROSINONE,FRIC83700Q,ISTITUTO COMPRENSIVO 1 ALATRI,FREE83701T,PRIMARIA LUIGI CECI,VIA A. DE GASPERI 34,03011,SCUOLA PRIMARIA
LAZIO,TIVOLI,ROMA,RMIC892003,I.C TIVOLI IV-VINCENZO PACIFICI,RMIC892003,I.C TIVOLI IV-VINCENZO PACIFICI,VIA DELLA LEONINA 8,00010,ISTITUTO COMPRENSIVO
LAZIO,FROSINONE,FROSINONE,FRIC86000R,I.C. 3^ FROSINONE,FREE860053,SCUOLA PRIMARIA TIRAVANTI,VIA MATTEOTTI 1,03100,SCUOLA PRIMARIA
LAZIO,CIVITAVECCHIA,ROMA,RMIC8GQ00R,IC VIA XVI SETTEMBRE,RMIC8GQ00R,IC VIA XVI SETTEMBRE,VIA XVI SETTEMBRE 17,00053,ISTITUTO COMPRENSIVO
LAZIO,ROMA,ROMA,RMIS069006,ISTITUTO ISTRUZIONE SUPERIORE E. AMALDI,RMPS06901L,EDOARDO AMALDI,VIA DOMENICO PARASACCHI21,00133,LICEO SCIENTIFICO
LAZIO,NETTUNO,ROMA,RMIC8D300T,ISTITUTO COMPRENSIVO NETTUNO IV,RMIC8D300T,ISTITUTO COMPRENSIVO NETTUNO IV,VIA VISCA 26/B,00048,ISTITUTO COMPRENSIVO
LAZIO,PONZA,LATINA,LTIC826001,I.C. PISACANE,LTEE826057,SANTA MARIA,Non Disponibile,Non Disponibile,SCUOLA PRIMARIA
LAZIO,POGGIO MIRTETO,RIETI,RIIC82500N,IST. COMPRENSIVO BASSA SABINA,RIAA82504N,FRAZ MISERICORDIA,VIA SANT'ANGELO SNC,02047,SCUOLA INFANZIA
LAZIO,AMASENO,FROSINONE,FRIC81200B,I.C. AMASENO,FRIC81200B,I.C. AMASENO,VIA PRATI SNC,03021,ISTITUTO COMPRENSIVO
LAZIO,ROMA,ROMA,RMIS09700A,CONFALONIERI-DE CHIRICO,RMTF09701V,I.I.S. CONFALONIERI DE CHIRICO,VIA BEATA MARIA DE MATTIAS VIA A. SEVERO,00185,ISTITUTO TECNICO INDUSTRIALE
LAZIO,ROMA,ROMA,RMPS12000G,PEANO (ROMA),RMPS12000G,PEANO (ROMA),VIA F. MORANDINI 38,00142,LICEO SCIENTIFICO
LAZIO,ANAGNI,FROSINONE,FRIS023002,I.I.S. ANAGNI,FRPC023019,"LICEO CLASSICO ""D. ALIGHIERI"" ANAGNI",STRADA PROVINCIALE ANAGNI-ACUTO,03012,LICEO CLASSICO
LAZIO,ROMA,ROMA,RMIS03600V,I.I.S. J. PIAGET-V. NOBILIORE - DIAZ,RMRF03601G,PIAGET - DIAZ,VIALE M.F. NOBILIORE 79/A,00175,IST PROF PER I SERVIZI SOCIALI
LAZIO,ROMA,ROMA,RMIC8FW00E,NELSON MANDELA,RMEE8FW01L,PRIMARIA ANGELO CELLI,VIA TORRIANI 44,00164,SCUOLA PRIMARIA
LAZIO,ROCCAGORGA,LATINA,LTIC80800B,IST. COMPR. ROCCAGORGA-MAENZA,LTAA808018,BORGO MADONNA (CAPOLUOGO),VIA BORGO MADONNA,04010,SCUOLA INFANZIA
LAZIO,CISTERNA DI LATINA,LATINA,LTIC838007,I.C. DANTE MONDA- ALFONSO VOLPI,LTEE83802A,BORGO FLORA,VIA F.CORRIDONI,04012,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8EL00C,IC VIA TEDESCHI,RMEE8EL03L,VIA A. TORRE,VIA A. TORRE 15,00157,SCUOLA PRIMARIA
LAZIO,FUMONE,FROSINONE,FRIC83900B,I.C. 1^ FERENTINO,FRAA83907E,FUMONE CAPOLUOGO,VIA VICINALE POZZI,03010,SCUOLA INFANZIA
LAZIO,PESCOROCCHIANO,RIETI,RIIC81900A,I. OMNICOMPRENSIVO BORGOROSE,RIEE81907P,FRAZ. S. ELPIDIO,VIA CASTAGNETA N. 2,02028,SCUOLA PRIMARIA
LAZIO,ROMA,ROMA,RMIC8FD00V,IC VIA P. SEMERIA,RMIC8FD00V,IC VIA P. SEMERIA,VIA P. SEMERIA 28,00154,ISTITUTO COMPRENSIVO
LAZIO,FROSINONE,FROSINONE,FRIS01100Q,"I.I.S. ""A.G. BRAGAGLIA"" FROSINONE",FRRI01101B,IPSIA G GALILEI,VIA CASALE RICCI ZONA AEREOPORTO,03100,IST PROF INDUSTRIA E ARTIGIANATO
LAZIO,FONDI,LATINA,LTTF09000X,ITI A. PACINOTTI,LTTF09000X,ITI A. PACINOTTI,VIA APPIA LATO ITRI 75,04022,ISTITUTO TECNICO INDUSTRIALE
LAZIO,POMEZIA,ROMA,RMIC8D400N,IC POMEZIA VIA DELLA TECNICA,RMEE8D404V,VIA GUERRAZZI,VIA CRESCENZI,00071,SCUOLA PRIMARIA
LAZIO,CIVITA CASTELLANA,VITERBO,VTIC81700B,I.C. D. ALIGHIERI CIVITA CASTEL,VTAA81703A,SASSACCI - CIVITA C.,VIA DELLA SCUOLA,01033,SCUOLA INFANZIA
LAZIO,ROMA,ROMA,RMTD640001,PAOLO TOSCANELLI,RMTD640001,PAOLO TOSCANELLI,VIA DELLE RANDE 22,00122,IST TEC COMMERCIALE E PER GEOMETRI
LAZIO,ROMA,ROMA,RMIS09700A,CONFALONIERI-DE CHIRICO,RMRC09751P,"PERCORSO II LIV ""T.CONFALONIERI""",VIA B.M. DE MATTIAS 5,00183,IST PROF PER I SERVIZI COMMERCIALI E TURISTICI
LAZIO,GALLICANO NEL LAZIO,ROMA,RMIC8AB006,GALLICANO NEL LAZIO VIA TRE NOV,RMIC8AB006,GALLICANO NEL LAZIO VIA TRE NOV,VIA TRE NOVEMBRE 11,00010,ISTITUTO COMPRENSIVO
LAZIO,LATINA,LATINA,LTIC81500E,I.C NATALE PRAMPOLINI,LTAA81501B,BORGO PIAVE,LARGO A. CODIGNOLA,04010,SCUOLA INFANZIA
LAZIO,BOMARZO,VITERBO,VTIC82200V,I.C. MONACI SORIANO NEL CIMINO,VTMM822021,SCUOLA SEC. I BOMARZO,VIA DEL PIANO,01020,SCUOLA PRIMO GRADO
LAZIO,ROMA,ROMA,RMIC8FR002,FRANCESCO CILEA,RMIC8FR002,FRANCESCO CILEA,VIA FRANCESCO CILEA 269,00124,ISTITUTO COMPRENSIVO
